month,day,year_after_2021,hour,day_of_week,count
1,18,0,17,0,20.0
1,18,0,18,0,31.0
1,18,0,19,0,17.0
1,18,0,20,0,17.0
1,18,0,21,0,0.0
1,18,0,22,0,0.0
1,18,0,23,0,0.0
1,19,0,0,1,0.0
1,19,0,1,1,0.0
1,19,0,2,1,0.0
1,19,0,3,1,0.0
1,19,0,4,1,0.0
1,19,0,5,1,0.0
1,19,0,6,1,0.0
1,19,0,7,1,12.0
1,19,0,8,1,34.0
1,19,0,9,1,89.0
1,19,0,10,1,89.0
1,19,0,11,1,103.0
1,19,0,12,1,133.0
1,19,0,13,1,154.0
1,19,0,14,1,116.0
1,19,0,15,1,114.0
1,19,0,16,1,86.0
1,19,0,17,1,90.0
1,19,0,18,1,36.0
1,19,0,19,1,24.0
1,19,0,20,1,18.0
1,19,0,21,1,4.0
1,19,0,22,1,0.0
1,19,0,23,1,0.0
1,20,0,0,2,0.0
1,20,0,1,2,0.0
1,20,0,2,2,0.0
1,20,0,3,2,0.0
1,20,0,4,2,0.0
1,20,0,5,2,0.0
1,20,0,6,2,0.0
1,20,0,7,2,11.0
1,20,0,8,2,62.0
1,20,0,9,2,101.0
1,20,0,10,2,92.0
1,20,0,11,2,114.0
1,20,0,12,2,133.0
1,20,0,13,2,157.0
1,20,0,14,2,141.0
1,20,0,15,2,120.0
1,20,0,16,2,132.0
1,20,0,17,2,114.0
1,20,0,18,2,71.0
1,20,0,19,2,48.0
1,20,0,20,2,15.0
1,20,0,21,2,7.0
1,20,0,22,2,0.0
1,20,0,23,2,0.0
1,21,0,0,3,0.0
1,21,0,1,3,0.0
1,21,0,2,3,0.0
1,21,0,3,3,0.0
1,21,0,4,3,0.0
1,21,0,5,3,0.0
1,21,0,6,3,0.0
1,21,0,7,3,22.0
1,21,0,8,3,58.0
1,21,0,9,3,76.0
1,21,0,10,3,128.0
1,21,0,11,3,152.0
1,21,0,12,3,145.0
1,21,0,13,3,196.0
1,21,0,14,3,163.0
1,21,0,15,3,146.0
1,21,0,16,3,133.0
1,21,0,17,3,96.0
1,21,0,18,3,59.0
1,21,0,19,3,33.0
1,21,0,20,3,36.0
1,21,0,21,3,0.0
1,21,0,22,3,0.0
1,21,0,23,3,0.0
1,22,0,0,4,0.0
1,22,0,1,4,0.0
1,22,0,2,4,0.0
1,22,0,3,4,0.0
1,22,0,4,4,0.0
1,22,0,5,4,0.0
1,22,0,6,4,0.0
1,22,0,7,4,5.0
1,22,0,8,4,52.0
1,22,0,9,4,74.0
1,22,0,10,4,85.0
1,22,0,11,4,110.0
1,22,0,12,4,124.0
1,22,0,13,4,129.0
1,22,0,14,4,133.0
1,22,0,15,4,166.0
1,22,0,16,4,95.0
1,22,0,17,4,51.0
1,22,0,18,4,29.0
1,22,0,19,4,16.0
1,22,0,20,4,1.0
1,22,0,21,4,0.0
1,22,0,22,4,0.0
1,22,0,23,4,0.0
1,23,0,0,5,0.0
1,23,0,1,5,0.0
1,23,0,2,5,0.0
1,23,0,3,5,0.0
1,23,0,4,5,0.0
1,23,0,5,5,0.0
1,23,0,6,5,0.0
1,23,0,7,5,0.0
1,23,0,8,5,0.0
1,23,0,9,5,1.0
1,23,0,10,5,0.0
1,23,0,11,5,0.0
1,23,0,12,5,114.0
1,23,0,13,5,131.0
1,23,0,14,5,105.0
1,23,0,15,5,86.0
1,23,0,16,5,91.0
1,23,0,17,5,55.0
1,23,0,18,5,28.0
1,23,0,19,5,8.0
1,23,0,20,5,0.0
1,23,0,21,5,0.0
1,23,0,22,5,0.0
1,23,0,23,5,0.0
1,24,0,0,6,0.0
1,24,0,1,6,0.0
1,24,0,2,6,0.0
1,24,0,3,6,0.0
1,24,0,4,6,0.0
1,24,0,5,6,0.0
1,24,0,6,6,0.0
1,24,0,7,6,0.0
1,24,0,8,6,0.0
1,24,0,9,6,0.0
1,24,0,10,6,0.0
1,24,0,11,6,17.0
1,24,0,12,6,137.0
1,24,0,13,6,145.0
1,24,0,14,6,180.0
1,24,0,15,6,136.0
1,24,0,16,6,109.0
1,24,0,17,6,61.0
1,24,0,18,6,21.0
1,24,0,19,6,30.0
1,24,0,20,6,20.0
1,24,0,21,6,6.0
1,24,0,22,6,0.0
1,24,0,23,6,0.0
1,25,0,0,0,0.0
1,25,0,1,0,0.0
1,25,0,2,0,0.0
1,25,0,3,0,0.0
1,25,0,4,0,0.0
1,25,0,5,0,0.0
1,25,0,6,0,0.0
1,25,0,7,0,3.0
1,25,0,8,0,61.0
1,25,0,9,0,101.0
1,25,0,10,0,140.0
1,25,0,11,0,147.0
1,25,0,12,0,161.0
1,25,0,13,0,236.0
1,25,0,14,0,191.0
1,25,0,15,0,165.0
1,25,0,16,0,160.0
1,25,0,17,0,118.0
1,25,0,18,0,58.0
1,25,0,19,0,43.0
1,25,0,20,0,32.0
1,25,0,21,0,7.0
1,25,0,22,0,0.0
1,25,0,23,0,0.0
1,26,0,0,1,0.0
1,26,0,1,1,0.0
1,26,0,2,1,0.0
1,26,0,3,1,0.0
1,26,0,4,1,0.0
1,26,0,5,1,0.0
1,26,0,6,1,0.0
1,26,0,7,1,2.0
1,26,0,8,1,50.0
1,26,0,9,1,92.0
1,26,0,10,1,100.0
1,26,0,11,1,135.0
1,26,0,12,1,152.0
1,26,0,13,1,180.0
1,26,0,14,1,177.0
1,26,0,15,1,198.0
1,26,0,16,1,99.0
1,26,0,17,1,99.0
1,26,0,18,1,78.0
1,26,0,19,1,47.0
1,26,0,20,1,35.0
1,26,0,21,1,9.0
1,26,0,22,1,0.0
1,26,0,23,1,0.0
1,27,0,0,2,0.0
1,27,0,1,2,0.0
1,27,0,2,2,0.0
1,27,0,3,2,0.0
1,27,0,4,2,0.0
1,27,0,5,2,0.0
1,27,0,6,2,0.0
1,27,0,7,2,0.0
1,27,0,8,2,48.0
1,27,0,9,2,107.0
1,27,0,10,2,135.0
1,27,0,11,2,157.0
1,27,0,12,2,173.0
1,27,0,13,2,206.0
1,27,0,14,2,186.0
1,27,0,15,2,165.0
1,27,0,16,2,145.0
1,27,0,17,2,119.0
1,27,0,18,2,68.0
1,27,0,19,2,84.0
1,27,0,20,2,25.0
1,27,0,21,2,10.0
1,27,0,22,2,0.0
1,27,0,23,2,0.0
1,28,0,0,3,0.0
1,28,0,1,3,0.0
1,28,0,2,3,0.0
1,28,0,3,3,0.0
1,28,0,4,3,0.0
1,28,0,5,3,0.0
1,28,0,6,3,0.0
1,28,0,7,3,13.0
1,28,0,8,3,44.0
1,28,0,9,3,73.0
1,28,0,10,3,100.0
1,28,0,11,3,130.0
1,28,0,12,3,114.0
1,28,0,13,3,203.0
1,28,0,14,3,172.0
1,28,0,15,3,180.0
1,28,0,16,3,151.0
1,28,0,17,3,89.0
1,28,0,18,3,59.0
1,28,0,19,3,47.0
1,28,0,20,3,31.0
1,28,0,21,3,6.0
1,28,0,22,3,0.0
1,28,0,23,3,0.0
1,29,0,0,4,0.0
1,29,0,1,4,0.0
1,29,0,2,4,0.0
1,29,0,3,4,0.0
1,29,0,4,4,0.0
1,29,0,5,4,0.0
1,29,0,6,4,0.0
1,29,0,7,4,12.0
1,29,0,8,4,42.0
1,29,0,9,4,76.0
1,29,0,10,4,63.0
1,29,0,11,4,95.0
1,29,0,12,4,121.0
1,29,0,13,4,133.0
1,29,0,14,4,111.0
1,29,0,15,4,128.0
1,29,0,16,4,102.0
1,29,0,17,4,67.0
1,29,0,18,4,45.0
1,29,0,19,4,12.0
1,29,0,20,4,1.0
1,29,0,21,4,0.0
1,29,0,22,4,0.0
1,29,0,23,4,0.0
1,30,0,0,5,0.0
1,30,0,1,5,0.0
1,30,0,2,5,0.0
1,30,0,3,5,0.0
1,30,0,4,5,0.0
1,30,0,5,5,0.0
1,30,0,6,5,0.0
1,30,0,7,5,0.0
1,30,0,8,5,5.0
1,30,0,9,5,13.0
1,30,0,10,5,25.0
1,30,0,11,5,56.0
1,30,0,12,5,97.0
1,30,0,13,5,105.0
1,30,0,14,5,87.0
1,30,0,15,5,94.0
1,30,0,16,5,95.0
1,30,0,17,5,46.0
1,30,0,18,5,29.0
1,30,0,19,5,15.0
1,30,0,20,5,0.0
1,30,0,21,5,0.0
1,30,0,22,5,0.0
1,30,0,23,5,0.0
1,31,0,0,6,0.0
1,31,0,1,6,0.0
1,31,0,2,6,0.0
1,31,0,3,6,0.0
1,31,0,4,6,0.0
1,31,0,5,6,0.0
1,31,0,6,6,0.0
1,31,0,7,6,0.0
1,31,0,8,6,0.0
1,31,0,9,6,0.0
1,31,0,10,6,0.0
1,31,0,11,6,27.0
1,31,0,12,6,141.0
1,31,0,13,6,138.0
1,31,0,14,6,179.0
1,31,0,15,6,155.0
1,31,0,16,6,122.0
1,31,0,17,6,71.0
1,31,0,18,6,58.0
1,31,0,19,6,46.0
1,31,0,20,6,22.0
1,31,0,21,6,2.0
1,31,0,22,6,0.0
1,31,0,23,6,0.0
2,1,0,0,0,0.0
2,1,0,1,0,0.0
2,1,0,2,0,0.0
2,1,0,3,0,0.0
2,1,0,4,0,0.0
2,1,0,5,0,0.0
2,1,0,6,0,0.0
2,1,0,7,0,3.0
2,1,0,8,0,50.0
2,1,0,9,0,80.0
2,1,0,10,0,98.0
2,1,0,11,0,92.0
2,1,0,12,0,92.0
2,1,0,13,0,96.0
2,1,0,14,0,72.0
2,1,0,15,0,55.0
2,1,0,16,0,54.0
2,1,0,17,0,30.0
2,1,0,18,0,31.0
2,1,0,19,0,24.0
2,1,0,20,0,8.0
2,1,0,21,0,3.0
2,1,0,22,0,0.0
2,1,0,23,0,0.0
2,2,0,0,1,0.0
2,2,0,1,1,0.0
2,2,0,2,1,0.0
2,2,0,3,1,0.0
2,2,0,4,1,0.0
2,2,0,5,1,0.0
2,2,0,6,1,0.0
2,2,0,7,1,1.0
2,2,0,8,1,32.0
2,2,0,9,1,58.0
2,2,0,10,1,58.0
2,2,0,11,1,103.0
2,2,0,12,1,106.0
2,2,0,13,1,182.0
2,2,0,14,1,140.0
2,2,0,15,1,156.0
2,2,0,16,1,110.0
2,2,0,17,1,123.0
2,2,0,18,1,82.0
2,2,0,19,1,61.0
2,2,0,20,1,40.0
2,2,0,21,1,7.0
2,2,0,22,1,0.0
2,2,0,23,1,0.0
2,3,0,0,2,0.0
2,3,0,1,2,0.0
2,3,0,2,2,0.0
2,3,0,3,2,0.0
2,3,0,4,2,0.0
2,3,0,5,2,0.0
2,3,0,6,2,0.0
2,3,0,7,2,4.0
2,3,0,8,2,58.0
2,3,0,9,2,79.0
2,3,0,10,2,110.0
2,3,0,11,2,132.0
2,3,0,12,2,158.0
2,3,0,13,2,178.0
2,3,0,14,2,193.0
2,3,0,15,2,218.0
2,3,0,16,2,151.0
2,3,0,17,2,123.0
2,3,0,18,2,90.0
2,3,0,19,2,91.0
2,3,0,20,2,34.0
2,3,0,21,2,7.0
2,3,0,22,2,0.0
2,3,0,23,2,0.0
2,4,0,0,3,0.0
2,4,0,1,3,0.0
2,4,0,2,3,0.0
2,4,0,3,3,0.0
2,4,0,4,3,0.0
2,4,0,5,3,0.0
2,4,0,6,3,0.0
2,4,0,7,3,8.0
2,4,0,8,3,53.0
2,4,0,9,3,115.0
2,4,0,10,3,95.0
2,4,0,11,3,109.0
2,4,0,12,3,146.0
2,4,0,13,3,197.0
2,4,0,14,3,162.0
2,4,0,15,3,160.0
2,4,0,16,3,157.0
2,4,0,17,3,103.0
2,4,0,18,3,67.0
2,4,0,19,3,51.0
2,4,0,20,3,34.0
2,4,0,21,3,4.0
2,4,0,22,3,0.0
2,4,0,23,3,0.0
2,5,0,0,4,0.0
2,5,0,1,4,0.0
2,5,0,2,4,0.0
2,5,0,3,4,0.0
2,5,0,4,4,0.0
2,5,0,5,4,0.0
2,5,0,6,4,0.0
2,5,0,7,4,4.0
2,5,0,8,4,40.0
2,5,0,9,4,78.0
2,5,0,10,4,61.0
2,5,0,11,4,106.0
2,5,0,12,4,95.0
2,5,0,13,4,143.0
2,5,0,14,4,149.0
2,5,0,15,4,149.0
2,5,0,16,4,97.0
2,5,0,17,4,76.0
2,5,0,18,4,39.0
2,5,0,19,4,14.0
2,5,0,20,4,0.0
2,5,0,21,4,0.0
2,5,0,22,4,0.0
2,5,0,23,4,0.0
2,6,0,0,5,0.0
2,6,0,1,5,0.0
2,6,0,2,5,0.0
2,6,0,3,5,0.0
2,6,0,4,5,0.0
2,6,0,5,5,0.0
2,6,0,6,5,0.0
2,6,0,7,5,0.0
2,6,0,8,5,0.0
2,6,0,9,5,0.0
2,6,0,10,5,0.0
2,6,0,11,5,0.0
2,6,0,12,5,128.0
2,6,0,13,5,110.0
2,6,0,14,5,109.0
2,6,0,15,5,107.0
2,6,0,16,5,89.0
2,6,0,17,5,43.0
2,6,0,18,5,31.0
2,6,0,19,5,18.0
2,6,0,20,5,0.0
2,6,0,21,5,0.0
2,6,0,22,5,0.0
2,6,0,23,5,0.0
2,7,0,0,6,0.0
2,7,0,1,6,0.0
2,7,0,2,6,0.0
2,7,0,3,6,0.0
2,7,0,4,6,0.0
2,7,0,5,6,0.0
2,7,0,6,6,0.0
2,7,0,7,6,0.0
2,7,0,8,6,0.0
2,7,0,9,6,0.0
2,7,0,10,6,0.0
2,7,0,11,6,0.0
2,7,0,12,6,143.0
2,7,0,13,6,120.0
2,7,0,14,6,128.0
2,7,0,15,6,92.0
2,7,0,16,6,51.0
2,7,0,17,6,29.0
2,7,0,18,6,32.0
2,7,0,19,6,24.0
2,7,0,20,6,19.0
2,7,0,21,6,2.0
2,7,0,22,6,0.0
2,7,0,23,6,0.0
2,8,0,0,0,0.0
2,8,0,1,0,0.0
2,8,0,2,0,0.0
2,8,0,3,0,0.0
2,8,0,4,0,0.0
2,8,0,5,0,0.0
2,8,0,6,0,0.0
2,8,0,7,0,1.0
2,8,0,8,0,43.0
2,8,0,9,0,77.0
2,8,0,10,0,122.0
2,8,0,11,0,114.0
2,8,0,12,0,140.0
2,8,0,13,0,176.0
2,8,0,14,0,185.0
2,8,0,15,0,183.0
2,8,0,16,0,162.0
2,8,0,17,0,131.0
2,8,0,18,0,79.0
2,8,0,19,0,88.0
2,8,0,20,0,47.0
2,8,0,21,0,8.0
2,8,0,22,0,0.0
2,8,0,23,0,0.0
2,9,0,0,1,0.0
2,9,0,1,1,0.0
2,9,0,2,1,0.0
2,9,0,3,1,0.0
2,9,0,4,1,0.0
2,9,0,5,1,0.0
2,9,0,6,1,0.0
2,9,0,7,1,5.0
2,9,0,8,1,53.0
2,9,0,9,1,86.0
2,9,0,10,1,72.0
2,9,0,11,1,123.0
2,9,0,12,1,127.0
2,9,0,13,1,168.0
2,9,0,14,1,132.0
2,9,0,15,1,160.0
2,9,0,16,1,118.0
2,9,0,17,1,107.0
2,9,0,18,1,55.0
2,9,0,19,1,73.0
2,9,0,20,1,38.0
2,9,0,21,1,5.0
2,9,0,22,1,0.0
2,9,0,23,1,1.0
2,10,0,0,2,0.0
2,10,0,1,2,0.0
2,10,0,2,2,0.0
2,10,0,3,2,0.0
2,10,0,4,2,0.0
2,10,0,5,2,0.0
2,10,0,6,2,1.0
2,10,0,7,2,7.0
2,10,0,8,2,62.0
2,10,0,9,2,84.0
2,10,0,10,2,142.0
2,10,0,11,2,119.0
2,10,0,12,2,174.0
2,10,0,13,2,180.0
2,10,0,14,2,165.0
2,10,0,15,2,192.0
2,10,0,16,2,144.0
2,10,0,17,2,148.0
2,10,0,18,2,89.0
2,10,0,19,2,73.0
2,10,0,20,2,43.0
2,10,0,21,2,10.0
2,10,0,22,2,0.0
2,10,0,23,2,0.0
2,11,0,0,3,0.0
2,11,0,1,3,0.0
2,11,0,2,3,0.0
2,11,0,3,3,0.0
2,11,0,4,3,0.0
2,11,0,5,3,0.0
2,11,0,6,3,0.0
2,11,0,7,3,1.0
2,11,0,8,3,61.0
2,11,0,9,3,78.0
2,11,0,10,3,114.0
2,11,0,11,3,121.0
